name;#publications;#publishers;publishers;density
Franko Lviv National University;3;7;"13611774500; 54879324800; 35186330200; 54953325600; 57207691072; 56631056000; 35186009900";0,428571429
Federal Scientific Agroengineering Center VIM;2;7;"57195126012; 58066693800; 57189090865; 57206770758; 57206780649; 57216490528; 57204671183";0,285714286
European University;3;7;"57202218122; 58371479100; 57680586200; 57205165557; 57193026484; 56673709400; 57193026076";0,428571429
Estonian Entrepreneurship University of Applied Sciences;2;12;"57209233082; 57224480732; 57452157500; 57215473796; 57822466100; 25823163300; 57451854400; 58291940000; 6507300118; 58289509400; 57217304933; 57352914300";0,166666667
EOS Data Analytics;3;10;"57220836008; 57203633940; 57190372318; 6505609275; 57203354947; 15122731600; 57567189000; 57567388200; 56368867700; 34977230500";0,3
Environmental Research Laboratory;2;5;"7003787083; 55943233300; 21742397800; 55942925100; 25926163200";0,4
Educational and Research Institute of Physics and Technology;2;9;"57208256914; 57981157800; 6507365226; 57981320100; 6506561715; 57202424721; 36021629800; 6602485938; 57981157900";0,222222222
Eastern European Scientific Society;2;2;"57191746939; 57191729424";1
E.O. Paton Electric Welding Institute of the NAS of Ukraine;2;10;"26538888200; 57208021639; 26428932000; 7801674115; 57212587051; 57207355597; 57189901860; 6602997148; 57212263637; 6507797783";0,2
Donetsk State University of Management;2;4;"6603145071; 57216944908; 35321905500; 57216956850";0,5
Donetsk National Medical University;36;10;"6701918811; 6506892699; 56956973800; 55797392400; 58245363300; 58245602800; 56301109500; 6507112674; 7006043228; 58244876300";3,6
Donbass State Mechanical Engineering Academy;2;6;"7004896784; 9235146100; 6603098591; 36069003600; 6603006640; 7005016394";0,333333333
Donbas National Academy of Civil Engineering and Architecture;3;4;"57220743412; 57211268631; 57215321755; 57188826034";0,75
Doctor of Technical Sciences;3;13;"27867503300; 35796112800; 57226436012; 57226453447; 56962707500; 14043113100; 6602508280; 57212629071; 57189324397; 57208632571; 57346638700; 57226433941; 57193610360";0,230769231
Dobrov Institute for Scientific and Technological Potential and Science History Studies;2;8;"56105504500; 57413429200; 57219050634; 57413294500; 57219052229; 57413569200; 56825986500; 57219049974";0,25
Dnipro University of Technology;45;134;"56344503100; 57210288677; 55319986800; 55999106800; 57218682553; 56257816600; 57196275221; 57606537300; 58046534500; 57216951893; 58072344900; 57200267987; 55522741200; 55998363700; 55602693800; 55661603700; 58645043900; 57191610104; 55522393400; 57609606900; 56257961800; 57193569363; 57188644610; 49161297800; 56509642500; 57217281140; 55522250000; 55321271400; 56694314600; 36186186400; 57209980242; 57202766614; 57214753214; 57607480200; 16444690800; 6504439207; 57191853306; 57204395497; 57904163000; 55320619500; 12143353700; 57219915094; 57209004713; 57212220701; 55646630800; 55998407100; 55217727300; 55773319400; 57214756236; 57209570435; 55437076500; 57369019300; 57194188119; 58452321500; 50961576700; 25636868900; 15122731600; 55998596600; 57200159977; 57415645600; 57220267804; 55999144100; 58296647200; 55958302000; 55217589600; 55218814800; 56446930100; 55217669900; 55217708500; 57203923377; 22984352500; 57222603980; 58454434900; 57204391115; 57203998201; 15029505800; 57919313400; 56437756800; 55891511500; 55998953700; 6507462662; 57219511187; 57904162900; 58705800400; 57191863245; 57288556600; 57218893064; 57211319619; 55217953100; 57194195417; 55505723300; 56007877500; 57204159539; 57208569329; 57203935603; 57219004867; 57194557735; 55998725200; 57813026900; 6504287905; 57203781089; 57211574520; 55437727000; 55976558100; 55320692400; 57195196059; 12788930300; 12789550900; 55195700400; 56447086500; 57222599777; 6507684508; 55891727500; 55999351300; 57219008256; 57214245977; 55958409500; 55998725800; 57201902879; 57214756128; 57904380800; 57223115802; 58705508600; 6505609275; 57196274067; 15020877800; 57218242332; 57201484714; 57221665615; 57424236100; 57203935810; 57202149983; 57485575300; 55998874400";0,335820896
Dnipro State Medical University;3;10;"57382239600; 57428101000; 57204582237; 58690265100; 58287336600; 57204510307; 57193059862; 58690814900; 58286962500; 58286062500";0,3
Danylo Halytsky Lviv National Medical University;8;37;"56667626300; 57004757800; 57222226566; 7005362110; 57435227400; 7202937719; 57216749178; 57188844879; 56181570500; 6602969260; 35306606300; 56703326600; 12808498600; 6503975175; 6602600329; 57222180435; 57694851800; 57572451900; 55203576800; 58335911200; 57204565196; 57435637100; 57435088800; 57795122200; 57435227500; 8393653800; 57352758300; 57188847107; 57434954500; 8746060700; 6602140548; 56677781000; 56465146600; 57224541997; 57434681000; 55701328900; 57225975563";0,216216216
Control Systems Research Laboratory;19;21;"27867946500; 56222117400; 38461225700; 57204562561; 13105377000; 57226099541; 36183980100; 57204567315; 14018777000; 57220778035; 56736026400; 57189386160; 57211128569; 57189383519; 56940612600; 6506130334; 6505681878; 25625157400; 57660441900; 57189359335; 57765391000";0,904761905
Constantine the Philosopher University in Nitra;2;6;"56602936900; 6508333072; 57189731962; 57192179062; 26632836300; 57200602259";0,333333333
College of Geophysics and Petroleum Resources;2;11;"57289827100; 55378129500; 57191408081; 7403170905; 57200278629; 56681825800; 57700889800; 57222329058; 58074672800; 58085057800; 57214823288";0,181818182
Chuiko Institute of Surface Chemistry;4;16;"7006018332; 57212375833; 7004337749; 56258441000; 7004262079; 6603803025; 6603260622; 35604967700; 56563062100; 7003916779; 7102808803; 55159523500; 7003656467; 56537026100; 7005889600; 8526636300";0,25
Chernivtsi Philosophical and Legal Lyceum;2;11;"57204917951; 24484045400; 57205200124; 55225672300; 6602615475; 57189374702; 57163746300; 57216901145; 57202441589; 57015285100; 57204568083";0,181818182
Chernivtsi National University;31;83;"6701443750; 37461152800; 57192588490; 6507861887; 57203989701; 56034955000; 35318204300; 57197783827; 56034752000; 8328833800; 57203982354; 55915208400; 56138569200; 54882613300; 54883888200; 55645481800; 55879051900; 57192587855; 56540065600; 57192587959; 57205435756; 7103366036; 6504590908; 37055370500; 35795806700; 6603051043; 7003463608; 6508109100; 57199854580; 9279702200; 57219244262; 14831433300; 6603766459; 57199860416; 58071229600; 57195933570; 35112376400; 57211567133; 7004062454; 55553505700; 56034576500; 57199846918; 7003787152; 6602744324; 57034267000; 6701840218; 55394720600; 14832091200; 6506549768; 57197779044; 55338178100; 57204235076; 57216031565; 57221531050; 57192588248; 57198759122; 57204584515; 57202033230; 55967630400; 54883991100; 46461030700; 57203380294; 7801664053; 21933980800; 56035715700; 57053118500; 57193137181; 12645175800; 57203977903; 56034560400; 8719459500; 55793789400; 7004368950; 57197785166; 57202221490; 57204585374; 14831780700; 57203984165; 57199862936; 36170689300; 55880077000; 54883991500; 6504439973";0,373493976
Cherkasy State Technological University;19;38;"57216953443; 57196218756; 58352681400; 57188681332; 57211428325; 47161155900; 57205357951; 58352681500; 56026726900; 57217114273; 57216488854; 57193454434; 58352031100; 57202703694; 55820194100; 57194424233; 58352031200; 6602734679; 57204920877; 58061128200; 57191869873; 57210600995; 58735250700; 57216955849; 57223373694; 58354652200; 57204913015; 58353333600; 57216031565; 57191709301; 57451203200; 56203633700; 57208852794; 57191709555; 57189329194; 57216491751; 57994121400; 58355953800";0,5
ChemEx Laboratory;2;5;"8444320600; 9733026800; 6701840847; 57221974272; 7004207231";0,4
Chair of Environmental Protection and Landscape Management;2;5;"57203525207; 57452924500; 6603385854; 57203532207; 57203535873";0,4
Central Scientific Research Institute of Armament and Military Equipment of the Armed Forces of Ukraine;2;10;"57196219605; 57433421100; 57347126300; 57351141600; 57433272800; 57200828028; 57221716614; 7004240035; 57433125700; 57215217052";0,2
Central China Normal University;3;4;"57189359335; 57192921573; 13105377000; 58187203600";0,75
Center for Higher Education Policy Studies;3;3;"7801390856; 55672646900; 55683148300";1
Caucasus University;8;12;"24832909700; 57194799267; 57209853883; 57194796747; 36184129600; 57209857572; 57188708598; 57222147991; 57210812243; 55882476000; 57194794201; 57226553845";0,666666667
Carpathians State Center of Informative Tools and Technologies of NASU;2;5;"36069938500; 57188574216; 36069904600; 36069307500; 57189322617";0,4
Carinthia University of Applied Sciences;2;7;"6507829071; 57211160378; 36601536300; 57279751600; 57218543871; 8383276100; 57206657943";0,285714286
Bukovinian State Medical University;23;80;"6504046222; 57204281760; 35608777000; 54883896800; 57219386179; 57660638300; 6507861887; 58698631300; 57211566829; 6508372142; 57197783827; 57216829932; 57211566777; 57203982354; 55915208400; 58408066200; 54882613300; 58264626000; 54883888200; 57211323941; 57203992978; 58697951100; 57211311669; 6506973943; 9279702200; 14831433300; 6603766459; 57454698400; 55780426900; 57219377908; 57195933570; 57219385924; 55553505700; 56034576500; 57454651900; 57220023867; 57190854698; 6504272188; 55394720600; 6701840218; 57188983126; 57211566692; 57215543102; 57219332385; 57203990533; 57219417482; 6602320185; 58265361600; 57211993287; 6508284984; 57215545200; 57219423246; 58177245300; 56035892000; 57204435927; 57219414237; 58698089600; 14831503200; 57203380294; 58405927400; 23003988100; 7801664053; 57220875576; 57499908000; 56035725300; 12645175800; 57203982953; 56034560400; 57201633922; 36682316500; 7004368950; 57454626900; 57202221490; 57215542960; 14831780700; 57425062800; 57219408928; 57841664600; 54883991500; 6504439973";0,2875
Brest State Technical University;5;13;"6602403139; 57200181809; 35518445600; 57193454606; 56239642600; 6603541176; 57209533384; 57215358797; 57215359506; 57193455121; 36856657900; 35366491300; 35366175300";0,384615385
Borys Grinchenko Kyiv University;12;27;"57609085200; 57204922790; 57208521755; 57207844090; 57209541415; 57218555574; 56607304100; 57208904023; 57211133927; 56436661900; 6507458643; 57216484368; 57227781900; 57190124417; 57218556199; 57208901299; 57194525101; 6701798930; 57226699554; 57218562054; 57190217440; 57207228906; 57194156418; 6507006637; 57218569789; 57218571180; 57218565160";0,444444444
Bohdan Khmelnytsky National University of Cherkasy;3;9;"57210596456; 57210596967; 57210600995; 57209541581; 57210598359; 57218466650; 57562657300; 57210337198; 57210601011";0,333333333
Bogomolets Institute of Physiology;28;26;"6602398416; 6604062219; 6701379676; 38761636600; 8397443200; 7202893723; 6701329069; 6602938480; 6505850968; 7005425654; 7007016666; 6507473842; 6602881653; 7801403999; 6603584790; 7006341879; 6603910962; 6603107736; 7004543954; 26653693800; 7004504424; 6507058608; 6506491237; 6603154107; 55818386500; 57201211112";1,076923077
Bogolyubov Institute for Theoretical Physics;3;8;"12763261300; 6701476897; 7103059304; 35571352700; 57191296120; 55179326200; 6603558350; 7006596987";0,375
Bogdan Khmelnitsky Melitopol State Pedagogical University;4;14;"6504409137; 57212377851; 57817808400; 57198803878; 57214946242; 57190217440; 57219926370; 57216845544; 57742755500; 14071225100; 57817951900; 57742561000; 57211133734; 57190218214";0,285714286
Berdyansk State Pedagogical University;3;14;"57238896300; 57210601161; 36523907500; 57200145628; 57221960044; 57208748653; 57216857747; 57219842529; 57200150887; 57226367577; 57221966433; 57210598712; 57210604975; 57197810681";0,214285714
Astronomical Observatory;8;25;"55616507900; 7006177984; 54938585600; 6602487368; 6602840005; 7007128263; 8225687500; 6603443133; 23985125600; 18434153900; 6504450419; 7005861552; 56784478000; 23103173100; 57222068504; 6602730190; 57219479845; 23667620600; 56958187000; 57216439603; 6507757898; 6701490867; 57211427356; 6506849501; 7004529396";0,32
Al-Rafidain University College;2;10;"57189322887; 57193138180; 57222295861; 57189323674; 57216432689; 57189324518; 57216680954; 57192199570; 57195288870; 24177964600";0,2
AL-Qalam University College;2;4;"57213165362; 57216680954; 56674669100; 57210418891";0,5
Aircraft Radio-Electronic Systems Design;2;4;"57207914339; 7003358846; 57193064693; 57194625057";0,5
AGH University of Science and Technology;3;14;"57193139026; 55645044200; 57105609100; 56521708600; 6505831119; 56001940500; 7003470455; 8227311300; 7801611260; 57190288753; 57218316064; 55441024400; 6507714646; 55608634000";0,214285714
Admiral Makarov National University of Shipbuilding;6;17;"57449594000; 7003797995; 7005196824; 58574948800; 57218515088; 55225519900; 57103166700; 58574948900; 43761604400; 58639991800; 58575122500; 6602324472; 58490483000; 55225622100; 7101860445; 58677657400; 57103213000";0,352941176
Academic and Research Institute of Law;2;10;"57211756809; 58299793400; 57217071586; 55480632900; 57202751067; 57205209276; 57222090225; 57204673590; 57195611683; 57226654171";0,2
A. Usikov Institute of Radio Physics and Electronics;3;5;"55943368800; 6602927740; 6602782210; 16052882900; 24468827000";0,6
