name;#publications;#publishers;publishers;density
Taras Shevchenko National University of Kyiv;261;395;"6507309724; 6507920066; 33768140200; 57209234608; 57217113657; 57188751299; 57202321835; 57200704795; 57194559143; 25123261200; 57188645471; 36635167700; 57222082763; 56074920300; 58775237800; 57189216930; 57539854900; 57208901299; 57216153384; 57441767000; 57207358279; 57219606319; 57200616055; 57218566883; 57225319847; 35319035700; 6506173786; 56084816800; 57566766900; 16431535400; 57216154189; 56183274300; 57201773676; 57851888100; 57200188616; 6602555083; 16745159200; 57203461138; 57201701043; 49862800100; 57200227059; 57219600082; 14063413700; 6508320471; 57202377504; 57203261784; 6507580266; 55128121500; 7006741597; 57188535491; 57216737999; 12242734700; 6507449974; 57224011132; 56786442100; 57188806994; 57204586464; 57216462211; 6506623724; 57245050700; 57861033200; 17434817400; 57216150467; 57216151170; 57190945399; 57224977778; 56358823000; 57216156286; 57203454389; 7003668092; 58127392100; 57219326645; 57200525760; 56369427000; 57212031795; 57215319676; 57208566066; 57190975212; 56358898000; 23985304400; 26428941500; 24074631100; 58781155300; 57250343300; 57189325888; 6602307977; 57219606721; 56720856800; 16436198800; 57222711203; 57191727361; 28767600100; 58734926500; 57191592131; 57221522551; 57216901073; 58342464400; 57288714600; 57211291536; 57672074100; 57208905776; 54947346500; 58316083100; 57188637896; 8700803100; 57200141737; 56358857000; 22956536100; 57194039632; 57190127510; 58725919600; 57214753102; 57194711434; 57468846800; 54397238100; 56203633700; 57218596900; 58082674700; 57190404746; 56950939100; 57196218756; 57222758327; 57188571542; 55858934300; 57214591500; 7801433517; 6602785897; 57207912430; 24604968400; 6603240132; 56006224700; 57189333096; 57222757943; 57189383519; 58628453300; 57191856083; 24723321600; 35203882600; 7006482235; 6603347161; 58298724000; 57203157573; 14525309200; 57218106504; 36069484800; 57188682230; 57222156652; 57204941407; 57211475719; 44661392700; 35269855400; 56352633800; 57219529565; 57194564633; 6507926049; 57201907047; 57190766460; 57432001200; 57188759044; 57201772477; 57207771390; 57219611275; 8088186200; 56962713100; 9536987000; 57200166289; 57189099973; 57219926852; 56619843600; 57191977873; 6506264506; 57468383800; 58042471500; 56496122100; 57200175137; 24480010500; 57214935213; 57223918365; 57202445004; 57204643913; 58355311100; 7003625482; 57190423837; 57222758939; 57140798400; 57205439768; 57222711201; 57203269094; 57213289661; 57645729200; 56884707500; 58685169300; 57224954271; 6701527231; 6602697265; 57215819788; 36705462600; 57575174100; 57216639228; 57195531548; 57215303050; 56837996700; 57194520926; 57244781000; 57200318123; 57208568632; 57219739237; 57282986900; 57851035600; 57198495672; 50161934200; 56335677500; 55926336700; 57217291224; 57191869873; 57218345419; 58029632500; 57222153286; 57191709301; 22939495000; 55320360800; 57207767437; 57218569617; 57194043799; 57216900563; 57245485600; 24179357900; 57208521755; 57211297040; 57219050151; 57216148997; 6602647400; 58716805400; 6507806853; 57206770758; 57200165109; 57479631700; 6507483403; 57193231739; 25927769900; 57192921573; 36790389200; 6602778501; 57192371738; 35585493200; 57206893179; 56667169600; 54421204800; 56359009500; 7004374434; 57193063379; 57194709427; 57467888400; 57195126012; 57209367343; 57224881006; 36628043900; 57207756465; 57202216784; 57200184567; 57288554300; 57202211119; 57497484800; 57456800300; 25030548000; 57212673010; 57208670254; 57811370100; 57225027891; 26425180100; 57222756833; 57201729261; 57216147633; 58623934000; 57190125441; 54391288700; 57218567908; 15081867000; 58681437000; 57208904023; 57222575306; 7005440517; 57210284358; 23103173100; 58725919700; 57393435100; 57194622821; 24723280100; 57369370800; 57716887100; 57196472070; 57575174000; 57210744815; 57203286918; 14831314500; 57210743622; 57200533470; 57188623059; 56358907900; 56358461000; 14066962300; 57207857890; 57205503897; 57192985387; 57216147491; 57202316924; 57188687900; 57203287578; 57670854500; 57216894492; 56085672800; 58249906800; 6508147258; 23985125600; 7006704987; 57210292227; 57225216160; 56086487700; 57210751284; 57212683857; 57220206076; 57200182743; 56086421000; 57191861121; 24178277300; 6603019800; 57194705849; 57210570098; 56951322300; 58657968000; 6602577533; 57216544020; 57205603432; 58250369200; 57224009110; 15137640400; 58101514400; 56352192500; 57222756609; 57219614308; 56358752500; 58717740500; 55891888100; 57671576000; 25931119500; 57189330864; 57217176350; 58673829600; 57222714533; 57224881043; 57194407325; 57216160555; 57208407651; 57205613392; 57189375884; 57485384300; 57227972500; 57212001099; 57210290327; 58791462500; 57200186044; 55673092300; 12039392900; 6604033509; 57222153921; 25026248700; 56349125700; 58043682200; 57219926552; 58118042500; 57210596311; 57189330191; 57201741595; 57951373000; 57202223181; 57559415300; 58734892400; 57199581757; 6602216570; 57194528334; 56249263000; 56016410700; 57190942288; 57211747565; 56497047400; 35192058200; 57219613870; 6507993746; 58734522400; 57203286015; 57201779357; 57337043000; 57560518000; 57210588288; 57210583233";0,660759494
Taras Shevchenko National University Of Kyiv;3;4;"57203158985; 57190871320; 58671596200; 57200186044";0,75
Tampere University of Technology;2;8;"35232592700; 6507438749; 55777170300; 7102438809; 57200280538; 37121982400; 35224615800; 7004998247";0,25
Tampere University;3;8;"58335967200; 7102438809; 37121982400; 57202753672; 56048214800; 57203766040; 7004998247; 57194462882";0,375
Sumy State University;66;156;"15080666500; 57194574570; 58579761500; 56223927600; 57220765969; 56857490400; 36105646300; 55975685500; 56090402400; 57190396215; 57211486785; 55674106600; 57128607900; 57218108571; 57203429788; 57223390447; 57488893400; 57222122130; 57221790469; 57889766600; 54401312400; 36992766300; 57970631900; 56439436900; 57220362429; 57193111202; 58199360000; 6505763698; 57219116341; 36184129600; 56677890400; 57581304400; 57195066717; 58090516400; 55780752800; 56658762000; 12805790300; 57204275166; 57204897095; 57222982001; 6701836202; 56439974900; 57220987167; 56274453800; 56436846000; 58126904300; 57196299250; 57189099775; 57191336735; 57488866000; 54883604300; 57391755200; 57196004388; 57148522500; 58698593400; 58497881900; 57226351250; 57208899783; 57218106801; 58203758700; 57193231739; 58703589900; 55769747343; 57203981844; 56104755400; 57195398101; 57190445323; 57210604549; 57202816090; 36052468600; 41261194400; 58100968200; 57189331724; 58125976000; 58073504600; 57195679666; 55359732200; 55418357100; 6506649428; 57741148800; 57439566100; 57488837200; 54420952900; 57131020200; 57219930575; 57931022700; 57195321650; 57773839700; 57216952789; 58073832400; 56644950500; 55308230400; 15770545200; 55673815500; 57879548300; 57219529842; 57204833365; 57192962344; 57488786700; 6701618311; 56106039600; 57204827517; 57931458500; 55537177800; 56809418500; 56669955400; 57203587342; 57189328705; 58192112000; 6505950362; 55885326200; 57210605480; 36105518300; 56318245900; 57216815967; 55673092300; 57204028825; 56856626100; 56667771600; 57207772531; 57216944691; 57204692056; 58318301800; 57220045614; 57208675019; 57216845957; 56395113900; 54421163800; 56440211700; 57218109775; 57392171300; 57949494800; 56498675800; 57931458600; 56310222100; 14619751100; 57208672034; 23488730500; 57208671709; 54406073800; 57192894389; 56435834300; 36119198500; 57221949418; 26530793400; 56439623500; 57148511400; 57215016152; 56275471300; 54972904200; 57210598193; 56387696700; 57202627758; 57214957739; 57948642200; 57194526188";0,423076923
Sumy National Agrarian University;8;27;"57212183214; 54420952900; 57874120600; 57221761683; 57701092000; 54421163800; 57874313200; 57697755900; 57205779340; 57216526686; 55957601200; 55890931200; 57194868225; 56786429700; 57220958633; 57203173896; 57296053500; 57842279100; 57702150300; 56647807400; 57702682000; 57196017955; 57208282009; 57197709853; 56447014600; 57195679666; 57697448400";0,296296296
SumDU;2;7;"56436858700; 23492504900; 56436622000; 55995925100; 56435612600; 57189052014; 57195345847";0,285714286
State University of Transport Economy and Technologies;2;10;"6506291738; 6603592874; 55600969000; 24279096700; 6602378430; 36925116300; 7006204952; 57191737944; 55645191800; 7005121594";0,2
State University of Trade and Economics;3;16;"57189046477; 57217025687; 57221416825; 58095875900; 57224135609; 57205633452; 57956270900; 58572869300; 57937055900; 57695893200; 58573348800; 57210844967; 58614274000; 57695893300; 57222054257; 57221420842";0,1875
State University of Telecommunications;11;35;"57195467534; 58348105600; 57208521755; 57202220667; 57208631196; 57203142200; 57184229700; 25123261200; 57188759044; 6603343666; 57198495672; 56707680600; 58726658900; 57222761126; 57203261667; 24479839700; 55901154800; 57160216700; 58724606300; 57441767000; 57188751165; 57211279043; 58489850800; 57715333500; 58728259400; 57203266737; 57189326645; 58728649300; 58000701300; 36724076700; 57202220728; 58000701200; 57193065119; 57382890300; 57203146265";0,314285714
